event,price,pricePerSquareFoot,city,state,yearBuilt,streetAddress,zipcode,currency,livingArea,bathrooms,bedrooms,parking,garageSpaces,hasGarage,levels,pool,spa,isNewConstruction,homeType,county
Listed for sale,3250000,1113,Solana Beach,CA,1966,415 Hilmen Pl,92075,USD,2920,4,5,1,2,1,Two,0,1,0,SINGLE_FAMILY,San Diego County
Listed for sale,1299900,914,Solana Beach,CA,1975,429 S Sierra Ave UNIT 132,92075,USD,1422,3,2,1,2,1,Two,0,1,0,CONDO,San Diego County
Listed for sale,2200000,843,Solana Beach,CA,1975,1463 Santa Marta Ct,92075,USD,2609,3,5,1,2,1,Two,1,0,0,SINGLE_FAMILY,San Diego County
Listed for sale,4099000,2181,Solana Beach,CA,1967,364 Pacific Ave,92075,USD,1879,3,4,1,1,1,Two,0,0,0,SINGLE_FAMILY,San Diego County
Listed for sale,1250000,784,Solana Beach,CA,1975,1355 Camino Teresa,92075,USD,1594,2,2,1,2,1,One,0,1,0,CONDO,San Diego County
Listed for sale,613000,245,Bonsall,CA,1971,32 Via Casitas,92003,USD,2500,2,3,1,2,1,Multi/Split,1,1,0,CONDO,San Diego County
Listed for sale,1348747,429,Bonsall,CA,1981,6565 Via De La Reina,92003,USD,3142,4,4,1,3,1,One,1,1,0,SINGLE_FAMILY,San Diego County
Listed for sale,349000,397,Bonsall,CA,1988,31916 Del Cielo Este APT 3,92003,USD,878,1,2,1,1,1,One,0,1,0,CONDO,San Diego County
Listed for sale,305000,484,Bonsall,CA,1988,31940 Del Cielo Este UNIT B1,92003,USD,630,1,1,1,1,1,One,0,1,0,CONDO,San Diego County
Listed for sale,1099990,289,Bonsall,CA,1991,5622 Lake Vista Dr,92003,USD,3800,3,5,1,2,1,Two,0,0,0,SINGLE_FAMILY,San Diego County
Listed for sale,1480000,763,Bonsall,CA,1976,31725 Rancho Amigos Rd,92003,USD,1940,2,3,1,2,1,One,0,1,0,SINGLE_FAMILY,San Diego County
Listed for sale,1750000,517,Bonsall,CA,1974,30410 Calle La Reina,92003,USD,3386,4,4,1,2,1,One,0,1,0,SINGLE_FAMILY,San Diego County
Listed for sale,879000,338,Escondido,CA,2002,3221 Oak Wood Ln,92027,USD,2604,3,4,1,3,1,Two,0,1,0,SINGLE_FAMILY,San Diego County
Listed for sale,1187000,344,Escondido,CA,2012,2629 Morning Terrace Gln,92027,USD,3447,3,3,1,3,1,One,1,1,0,SINGLE_FAMILY,San Diego County
Listed for sale,599000,499,Escondido,CA,1977,3060 Pecan Pl,92027,USD,1200,2,3,1,2,1,One,0,1,0,SINGLE_FAMILY,San Diego County
Listed for sale,599900,379,Escondido,CA,1969,1044 Thomas Way,92027,USD,1584,2,3,1,2,1,One,0,0,0,SINGLE_FAMILY,San Diego County
Listed for sale,615000,461,Escondido,CA,1971,1056 Paula Way,92027,USD,1334,2,3,1,2,1,One,0,0,0,SINGLE_FAMILY,San Diego County
